Dimension 1,Dimension 2,prediction
88.3004,-67.58452,299
41.951508,85.66458,301
-131.60786,6.0252314,160
-105.59502,82.058945,151
18.77643,-3.2389152,-1
-60.372326,-43.857037,449
-17.9058,-7.2580147,-1
-65.34847,-101.57727,381
-2.8481545,8.079654,-1
-67.85562,-44.56762,448
140.27182,66.18923,67
16.208612,76.752205,321
-8.435638,-181.79935,96
8.035282,-145.09195,121
-152.80489,20.506407,162
70.58403,-87.430824,300
70.66239,-85.96718,300
103.331116,-73.995766,288
102.816444,-73.51538,288
-132.72043,43.612057,-1
-132.68224,43.40322,-1
-66.345146,-118.3682,403
-95.671555,-72.467896,376
4.634945,-54.039284,312
64.98041,15.7098875,-1
56.85604,-151.57898,155
-3.036448,95.56041,331
88.45981,-50.061966,245
-22.778673,153.33264,30
-106.62393,-5.7749553,128
78.58535,72.24992,-1
55.460125,53.084167,-1
57.72701,71.2725,385
58.61224,76.526505,384
-166.21628,70.15385,125
-117.56206,94.42193,-1
-138.40639,-37.031868,26
43.872013,-62.896484,364
-140.05708,87.324684,167
-31.14913,-79.08397,-1
87.05213,126.8952,227
87.112236,126.668015,227
105.28541,-53.435,-1
47.731285,-40.54723,461
-0.8244529,162.19023,-1
-7.6580124,-138.96182,123
4.218771,-2.4594986,-1
65.711395,39.77689,358
-79.91494,143.05632,-1
-1.6888407,-80.435394,352
-9.798473,158.2715,41
42.048195,-165.12233,157
81.019875,130.60913,221
-106.97609,95.77935,144
-126.97248,60.41987,-1
27.869024,26.552343,-1
58.3039,-130.5835,197
169.19598,-4.2381477,29
-2.671485,-35.504898,-1
108.8523,71.121025,204
63.709484,-66.16847,300
62.814182,-2.1313934,-1
63.058533,-2.5948706,-1
133.85876,61.426888,68
106.946686,111.117485,229
11.985507,-126.65327,344
29.165457,84.72475,311
-14.851424,52.48518,-1
13.102554,10.934744,440
21.419254,83.8592,330
-79.56644,75.81877,232
-40.197952,-91.688644,-1
-80.31909,76.96303,232
8.875553,37.530266,-1
180.06241,10.051363,42
66.335266,-114.91176,-1
32.199825,143.96605,316
-124.62408,32.835873,166
-109.41529,30.382053,156
-109.94598,28.745285,156
-135.56471,-48.355038,51
-68.331764,-127.55349,403
-135.24995,51.625015,-1
92.506454,-49.599953,245
50.584667,-8.753876,472
-78.50966,-126.254715,403
55.39869,-54.575035,292
55.31281,-54.58772,292
-108.0431,-78.77054,-1
-169.64288,39.525448,148
-178.20772,-20.19059,25
-101.741745,-16.300995,99
-10.209451,64.9418,324
-10.163909,65.014496,324
89.70818,-28.404251,296
26.44861,70.30265,326
-88.43557,-114.057144,409
-25.748112,-88.0624,355
96.75441,120.1933,-1
-159.8249,47.411583,165
25.849636,-68.495705,377
86.76517,114.51468,231
42.373383,31.59429,471
70.44243,-65.3672,300
95.413,-24.256208,-1
104.36439,20.995443,-1
66.6041,69.02228,382
67.76385,69.07326,382
-83.966324,64.82176,240
35.09372,72.197,307
-90.509865,40.938732,102
-122.61943,-3.6942308,93
-50.232346,-62.440296,460
8.5323715,135.58603,-1
-22.289635,155.45224,30
-89.48344,-27.784967,235
-149.3262,50.92172,172
85.18119,142.6004,208
-77.72737,-1.2180399,-1
140.52472,73.20139,-1
-9.603423,-42.999187,363
-108.4609,-26.340366,92
24.99913,42.593403,350
-59.01147,102.115234,-1
-0.99217284,98.96175,331
3.7876236,108.466835,-1
103.96185,66.91396,-1
-26.123262,-20.288391,438
