Dimension 1,Dimension 2,prediction
37.101536,89.24324,-1
-54.228718,-145.79591,-1
-129.22704,105.31465,-1
62.59812,-40.56877,89
-62.010487,154.4453,53
-62.073822,153.96428,53
-28.629576,-136.51663,-1
89.63514,-85.7655,-1
73.24477,-38.377544,1276
-37.729523,-121.509186,90
48.25945,-26.435463,91
-153.11241,86.05762,-1
113.415924,-11.11472,92
-118.39666,26.928959,93
-96.41061,133.61006,-1
14.554344,-44.465,94
-17.3871,-153.01558,-1
-45.377888,113.811264,95
-131.83173,23.489843,96
-132.13069,23.44137,96
71.14015,89.57551,97
71.11302,89.699974,97
43.09362,162.29698,2755
52.22086,56.390713,-1
-52.12508,-63.796288,98
-37.78939,-85.99919,99
-131.99443,-60.507072,-1
-8.148358,-162.3387,100
68.96409,47.506393,101
37.533295,-134.8217,102
-24.6542,84.526855,-1
127.17631,-42.488693,103
-117.29587,-99.3852,34
155.37778,-15.32843,104
-19.704563,143.38293,105
-19.663115,143.38191,105
-93.55947,142.47372,1
-92.77969,142.38141,1
-38.523518,134.63353,106
35.6785,36.941742,-1
144.17735,-40.371986,107
-90.46315,-80.38453,-1
34.403614,85.42499,-1
-91.13405,-92.37538,108
52.259323,-27.530947,109
-55.542988,-16.776781,110
56.745964,-144.38756,111
56.22227,-143.95963,111
33.270603,-21.514778,-1
95.15435,22.612694,-1
71.10432,84.19765,112
132.11243,-2.7287643,113
130.73198,45.5188,114
131.09799,45.731148,114
9.116035,-113.42,-1
-0.54357564,-44.210537,-1
-141.17746,-10.874083,115
-141.15427,-10.877676,115
-141.14624,-10.888009,115
-156.79704,-70.61399,116
20.591814,-11.031525,-1
-80.7594,-56.636326,117
-4.8724537,158.31581,118
174.78226,-23.341782,119
137.66397,83.982506,120
-104.370544,-54.439693,-1
134.22342,-37.04186,-1
141.17117,47.205353,121
-50.711384,-1.4034023,-1
-28.3419,-53.843483,-1
3.047108,79.02103,122
-44.83863,67.69488,-1
18.206417,125.98071,-1
-58.670845,59.209126,-1
-82.68654,-78.74258,123
-13.836044,88.1154,124
20.07338,34.85038,125
50.683968,-160.47519,126
50.52283,-160.68823,126
53.499706,-48.965237,-1
-120.55248,17.754963,127
-0.032480508,18.546585,128
-90.22457,-20.719175,129
73.59948,-52.37805,-1
41.69598,140.60678,-1
167.39285,-31.002905,-1
-9.611649,70.41057,130
-24.381037,82.3831,131
-126.88343,80.83091,132
82.21315,12.088881,133
-13.741816,12.802249,-1
-56.305378,-17.050276,110
91.537704,46.83976,134
-69.655,-10.20235,135
45.763786,-112.84986,136
-41.09901,-36.71947,-1
51.11288,-1.4271096,137
145.98015,-81.242645,-1
-73.12495,-98.03554,138
-64.351524,-50.683384,-1
-104.64795,120.25666,2700
-44.711548,-61.3761,-1
25.742931,92.488304,-1
31.035873,-100.281,3112
-130.34258,80.01107,139
-130.21089,80.517395,139
89.125496,-51.13677,140
-84.02992,-54.56245,3552
34.738556,-114.36355,141
34.764732,-114.364334,141
70.68214,-1.4183102,-1
80.01269,-41.787163,142
79.876526,-41.704517,142
-90.59373,-0.6469122,143
31.39355,-132.60922,144
12.317659,-91.931564,145
119.08339,124.247475,146
34.879257,-30.491722,-1
-9.267506,53.696957,147
-122.71177,88.09158,148
-122.723045,88.0559,148
137.9483,-27.259058,8
-19.499432,-44.759037,-1
-82.700516,51.95799,149
37.27677,17.91209,-1
109.54125,116.87853,1374
43.875526,5.125253,150
38.967056,-31.980457,-1
140.0293,-11.03242,151
147.51483,-52.968918,152
-54.546295,-38.568707,153
-101.365456,120.37248,-1
70.67591,-2.0295026,-1
-40.367355,-56.96488,154
88.189964,54.71699,155
113.46846,39.519688,-1
114.48692,-41.08222,-1
-61.776184,130.63445,-1
51.2841,-136.77159,-1
63.025288,97.78043,156
124.18454,-4.9456496,-1
-35.696808,25.354527,157
98.3268,40.07255,158
64.35949,2.843363,-1
1.520134,69.15343,159
30.818008,-77.191696,160
-8.916145,-70.76054,161
61.831882,-54.134357,162
